order_id,shipment_id,origin_city,destination_city,carrier_name,shipment_mode,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,shipment_status,transportation_cost,delivery_delay_days,shipment_duration_days
O0037,S0037,Mumbai,Mumbai,BlueDart,Air,2024-03-06,2024-03-06,2024-03-11,2024-03-11,Delivered,5871,0.0,5.0
O0038,S0038,Hyderabad,Hyderabad,Ecom Express,Air,2024-04-02,2024-04-02,2024-04-08,2024-04-08,Delivered,7224,0.0,6.0
O0039,S0039,Bangalore,Pune,DHL,Rail,2024-04-09,2024-04-09,2024-04-15,2024-04-15,Delivered,4504,0.0,6.0
O0040,S0040,Hyderabad,Hyderabad,Ecom Express,Road,2024-03-12,2024-03-12,2024-03-14,2024-03-15,Delayed,6474,1.0,3.0
O0041,S0041,Hyderabad,Mumbai,Ecom Express,Air,2024-02-05,2024-02-05,2024-02-11,2024-02-13,Delayed,5383,2.0,8.0
O0042,S0042,Chennai,Chennai,Delhivery,Road,2024-04-24,2024-04-24,2024-04-29,2024-04-29,Delivered,6298,0.0,5.0
O0043,S0043,Pune,Mumbai,Delhivery,Road,2024-01-31,2024-01-31,2024-02-02,2024-02-02,Delivered,2873,0.0,2.0
O0044,S0044,Pune,Chennai,XpressBees,Road,2024-04-23,2024-04-23,2024-04-28,2024-04-28,Delivered,6270,0.0,5.0
O0045,S0045,Chennai,Bangalore,XpressBees,Road,2024-04-16,2024-04-16,2024-04-19,2024-04-20,Delayed,3721,1.0,4.0
O0046,S0046,Chennai,Chennai,DHL,Air,2024-02-10,2024-02-10,2024-02-14,2024-02-14,Delivered,3515,0.0,4.0
O0047,S0047,Pune,Mumbai,DHL,Road,2024-03-07,2024-03-08,2024-03-11,2024-03-13,Delayed,2975,2.0,5.0
O0048,S0048,Chennai,Delhi,Delhivery,Air,2024-02-04,2024-02-04,2024-02-07,2024-02-07,Delivered,2023,0.0,3.0
O0049,S0049,Pune,Bangalore,DHL,Rail,2024-03-09,2024-03-10,2024-03-15,2024-03-16,Delayed,2301,1.0,6.0
O0050,S0050,Bangalore,Pune,Ecom Express,Road,2024-02-24,2024-02-24,2024-02-28,2024-02-28,Delivered,1345,0.0,4.0
O0051,S0051,Hyderabad,Chennai,Delhivery,Rail,2024-02-03,2024-02-03,2024-02-08,2024-02-08,Delivered,1858,0.0,5.0
O0052,S0052,Bangalore,Pune,BlueDart,Road,2024-01-06,2024-01-07,2024-01-09,2024-01-09,Delivered,3355,0.0,2.0
O0053,S0053,Hyderabad,Delhi,BlueDart,Air,2024-03-21,2024-03-21,2024-03-27,2024-03-27,Delivered,3642,0.0,6.0
O0054,S0054,Delhi,Hyderabad,Ecom Express,Road,2024-04-12,2024-04-12,2024-04-16,,Cancelled,5012,,
O0055,S0055,Delhi,Chennai,XpressBees,Rail,2024-03-01,2024-03-01,2024-03-06,2024-03-06,Delivered,7637,0.0,5.0
O0056,S0056,Mumbai,Bangalore,BlueDart,Rail,2024-04-23,2024-04-23,2024-04-29,2024-04-29,Delivered,6770,0.0,6.0
O0057,S0057,Mumbai,Pune,DHL,Rail,2024-03-22,2024-03-22,2024-03-27,2024-03-27,Delivered,6869,0.0,5.0
O0058,S0058,Delhi,Chennai,Ecom Express,Rail,2024-04-22,2024-04-22,2024-04-27,2024-04-27,Delivered,3109,0.0,5.0
O0059,S0059,Mumbai,Bangalore,XpressBees,Road,2024-03-17,2024-03-17,2024-03-21,2024-03-21,Delivered,2956,0.0,4.0
O0060,S0060,Bangalore,Mumbai,Delhivery,Road,2024-02-16,2024-02-16,2024-02-22,2024-02-22,Delivered,808,0.0,6.0
O0061,S0061,Delhi,Mumbai,BlueDart,Rail,2024-02-12,2024-02-12,2024-02-14,2024-02-15,Delayed,7158,1.0,3.0
O0062,S0062,Hyderabad,Pune,XpressBees,Road,2024-01-01,2024-01-01,2024-01-05,2024-01-05,Delivered,3254,0.0,4.0
O0063,S0063,Hyderabad,Mumbai,Ecom Express,Air,2024-02-08,2024-02-09,2024-02-11,2024-02-11,Delivered,7061,0.0,2.0
O0064,S0064,Hyderabad,Delhi,BlueDart,Road,2024-02-11,2024-02-12,2024-02-16,2024-02-16,Delivered,7557,0.0,4.0
O0065,S0065,Hyderabad,Mumbai,Ecom Express,Rail,2024-04-16,2024-04-17,2024-04-22,2024-04-23,Delayed,5456,1.0,6.0
O0066,S0066,Pune,Mumbai,Delhivery,Road,2024-04-16,2024-04-16,2024-04-22,2024-04-22,Delivered,3885,0.0,6.0
O0067,S0067,Delhi,Hyderabad,BlueDart,Air,2024-04-16,2024-04-16,2024-04-22,2024-04-22,Delivered,2960,0.0,6.0
O0068,S0068,Pune,Delhi,Ecom Express,Road,2024-01-01,2024-01-01,2024-01-03,2024-01-05,Delayed,6909,2.0,4.0
O0069,S0069,Mumbai,Delhi,BlueDart,Road,2024-04-04,2024-04-04,2024-04-08,2024-04-08,Delivered,6860,0.0,4.0
O0070,S0070,Delhi,Bangalore,DHL,Rail,2024-03-24,2024-03-24,2024-03-29,2024-03-30,Delayed,5983,1.0,6.0
O0071,S0071,Bangalore,Delhi,Delhivery,Rail,2024-03-23,2024-03-23,2024-03-25,2024-03-27,Delayed,5451,2.0,4.0
O0072,S0072,Delhi,Pune,BlueDart,Rail,2024-01-18,2024-01-18,2024-01-23,2024-01-23,Delivered,4810,0.0,5.0
O0073,S0073,Chennai,Pune,Ecom Express,Road,2024-02-07,2024-02-08,2024-02-13,2024-02-13,Delivered,3353,0.0,5.0
O0074,S0074,Hyderabad,Chennai,Delhivery,Air,2024-01-11,2024-01-11,2024-01-13,2024-01-13,Delivered,2518,0.0,2.0
O0075,S0075,Delhi,Hyderabad,Delhivery,Air,2024-04-27,2024-04-27,2024-04-29,2024-05-01,Delayed,1886,2.0,4.0
O0076,S0076,Delhi,Bangalore,BlueDart,Air,2024-03-18,2024-03-19,2024-03-24,2024-03-24,Delivered,7977,0.0,5.0
O0077,S0077,Chennai,Delhi,XpressBees,Air,2024-03-03,2024-03-03,2024-03-05,,Cancelled,3273,,
O0078,S0078,Pune,Bangalore,DHL,Air,2024-04-03,2024-04-03,2024-04-08,2024-04-08,Delivered,6950,0.0,5.0
O0079,S0079,Delhi,Bangalore,Delhivery,Air,2024-02-13,2024-02-13,2024-02-15,2024-02-15,Delivered,1332,0.0,2.0
O0080,S0080,Chennai,Bangalore,DHL,Air,2024-02-20,2024-02-20,2024-02-26,2024-02-26,Delivered,1633,0.0,6.0
O0081,S0081,Bangalore,Chennai,Ecom Express,Air,2024-01-07,2024-01-08,2024-01-11,2024-01-11,Delivered,2355,0.0,3.0
O0082,S0082,Delhi,Chennai,Ecom Express,Rail,2024-04-08,2024-04-08,2024-04-13,2024-04-13,Delivered,2466,0.0,5.0
O0083,S0083,Mumbai,Delhi,Delhivery,Air,2024-04-02,2024-04-02,2024-04-04,2024-04-05,Delayed,1201,1.0,3.0
O0084,S0084,Bangalore,Bangalore,Delhivery,Air,2024-04-26,2024-04-27,2024-04-29,2024-04-29,Delivered,6854,0.0,2.0
O0085,S0085,Bangalore,Chennai,Ecom Express,Rail,2024-04-04,2024-04-05,2024-04-08,2024-04-09,Delayed,4030,1.0,4.0
O0086,S0086,Chennai,Hyderabad,BlueDart,Air,2024-01-16,2024-01-16,2024-01-19,2024-01-19,Delivered,3526,0.0,3.0
O0087,S0087,Mumbai,Pune,BlueDart,Air,2024-04-07,2024-04-07,2024-04-12,2024-04-12,Delivered,5353,0.0,5.0
O0088,S0088,Hyderabad,Mumbai,DHL,Rail,2024-01-12,2024-01-12,2024-01-15,2024-01-15,Delivered,7932,0.0,3.0
O0089,S0089,Bangalore,Bangalore,DHL,Air,2024-02-22,2024-02-22,2024-02-27,2024-02-29,Delayed,3073,2.0,7.0
O0090,S0090,Mumbai,Pune,Delhivery,Road,2024-03-14,2024-03-14,2024-03-17,2024-03-19,Delayed,3950,2.0,5.0
O0091,S0091,Pune,Mumbai,DHL,Air,2024-02-21,2024-02-22,2024-02-26,2024-02-27,Delayed,6612,1.0,5.0
O0092,S0092,Chennai,Hyderabad,XpressBees,Air,2024-04-07,2024-04-07,2024-04-13,,Cancelled,2835,,
O0093,S0093,Delhi,Pune,XpressBees,Road,2024-04-10,2024-04-10,2024-04-13,2024-04-13,Delivered,5317,0.0,3.0
O0094,S0094,Pune,Delhi,Delhivery,Road,2024-04-09,2024-04-09,2024-04-11,2024-04-11,Delivered,5932,0.0,2.0
O0095,S0095,Bangalore,Hyderabad,Ecom Express,Road,2024-02-02,2024-02-03,2024-02-07,2024-02-07,Delivered,3979,0.0,4.0
O0096,S0096,Bangalore,Chennai,Delhivery,Air,2024-02-03,2024-02-03,2024-02-09,,Cancelled,6080,,
O0097,S0097,Mumbai,Pune,XpressBees,Rail,2024-04-17,2024-04-17,2024-04-22,2024-04-24,Delayed,6121,2.0,7.0
O0098,S0098,Delhi,Delhi,XpressBees,Road,2024-02-09,2024-02-09,2024-02-11,2024-02-11,Delivered,2907,0.0,2.0
O0099,S0099,Pune,Delhi,Delhivery,Rail,2024-01-30,2024-01-31,2024-02-04,2024-02-04,Delivered,4245,0.0,4.0
O0100,S0100,Bangalore,Delhi,Ecom Express,Road,2024-02-16,2024-02-17,2024-02-21,,Cancelled,2481,,
O0101,S0101,Mumbai,Bangalore,Delhivery,Road,2024-03-04,2024-03-04,2024-03-08,2024-03-08,Delivered,5908,0.0,4.0
O0102,S0102,Delhi,Pune,Ecom Express,Road,2024-03-04,2024-03-05,2024-03-07,2024-03-07,Delivered,4023,0.0,2.0
O0103,S0103,Pune,Delhi,DHL,Road,2024-01-07,2024-01-07,2024-01-09,2024-01-11,Delayed,4022,2.0,4.0
O0104,S0104,Mumbai,Bangalore,BlueDart,Road,2024-02-27,2024-02-28,2024-03-02,2024-03-02,Delivered,6145,0.0,3.0
O0105,S0105,Delhi,Chennai,Delhivery,Air,2024-04-29,2024-04-30,2024-05-04,2024-05-04,Delivered,4424,0.0,4.0
O0106,S0106,Bangalore,Chennai,DHL,Rail,2024-01-22,2024-01-22,2024-01-24,2024-01-24,Delivered,7016,0.0,2.0
O0107,S0107,Chennai,Pune,DHL,Rail,2024-01-27,2024-01-27,2024-01-31,2024-01-31,Delivered,4678,0.0,4.0
O0108,S0108,Bangalore,Delhi,XpressBees,Road,2024-01-26,2024-01-26,2024-02-01,2024-02-02,Delayed,5974,1.0,7.0
O0109,S0109,Chennai,Pune,DHL,Air,2024-02-22,2024-02-22,2024-02-27,2024-02-27,Delivered,2396,0.0,5.0
O0110,S0110,Bangalore,Hyderabad,DHL,Air,2024-04-05,2024-04-05,2024-04-11,2024-04-11,Delivered,6914,0.0,6.0
O0111,S0111,Delhi,Hyderabad,DHL,Road,2024-04-01,2024-04-02,2024-04-05,2024-04-05,Delivered,7566,0.0,3.0
O0112,S0112,Chennai,Bangalore,XpressBees,Air,2024-01-30,2024-01-30,2024-02-04,2024-02-05,Delayed,1887,1.0,6.0
O0113,S0113,Delhi,Bangalore,BlueDart,Rail,2024-04-28,2024-04-28,2024-05-01,2024-05-01,Delivered,2734,0.0,3.0
O0114,S0114,Hyderabad,Pune,Ecom Express,Road,2024-02-11,2024-02-11,2024-02-16,2024-02-16,Delivered,4008,0.0,5.0
O0115,S0115,Pune,Chennai,Ecom Express,Rail,2024-04-06,2024-04-06,2024-04-09,2024-04-10,Delayed,3468,1.0,4.0
O0116,S0116,Pune,Mumbai,DHL,Air,2024-01-21,2024-01-21,2024-01-23,2024-01-23,Delivered,4883,0.0,2.0
O0117,S0117,Chennai,Hyderabad,BlueDart,Rail,2024-03-31,2024-03-31,2024-04-03,2024-04-03,Delivered,5211,0.0,3.0
O0118,S0118,Hyderabad,Bangalore,Delhivery,Air,2024-04-18,2024-04-19,2024-04-20,2024-04-20,Delivered,6846,0.0,1.0
O0119,S0119,Mumbai,Mumbai,Delhivery,Rail,2024-02-03,2024-02-03,2024-02-08,2024-02-08,Delivered,2342,0.0,5.0
O0120,S0120,Hyderabad,Hyderabad,BlueDart,Rail,2024-02-11,2024-02-11,2024-02-16,2024-02-16,Delivered,7422,0.0,5.0
O0121,S0121,Chennai,Mumbai,XpressBees,Air,2024-01-13,2024-01-14,2024-01-18,2024-01-18,Delivered,1130,0.0,4.0
O0122,S0122,Hyderabad,Hyderabad,BlueDart,Road,2024-04-22,2024-04-22,2024-04-25,2024-04-25,Delivered,3849,0.0,3.0
O0123,S0123,Delhi,Pune,DHL,Rail,2024-03-06,2024-03-06,2024-03-11,2024-03-13,Delayed,5683,2.0,7.0
O0124,S0124,Bangalore,Mumbai,DHL,Road,2024-03-31,2024-04-01,2024-04-04,,Cancelled,2888,,
O0125,S0125,Chennai,Delhi,Delhivery,Road,2024-01-05,2024-01-06,2024-01-08,2024-01-08,Delivered,5887,0.0,2.0
O0126,S0126,Hyderabad,Chennai,DHL,Air,2024-02-09,2024-02-09,2024-02-12,2024-02-12,Delivered,1630,0.0,3.0
O0127,S0127,Pune,Delhi,BlueDart,Air,2024-04-11,2024-04-11,2024-04-17,2024-04-17,Delivered,6496,0.0,6.0
O0128,S0128,Pune,Bangalore,Ecom Express,Air,2024-02-04,2024-02-04,2024-02-08,2024-02-08,Delivered,4192,0.0,4.0
O0129,S0129,Chennai,Mumbai,DHL,Air,2024-02-23,2024-02-23,2024-02-27,2024-02-27,Delivered,2082,0.0,4.0
O0130,S0130,Bangalore,Chennai,BlueDart,Road,2024-02-24,2024-02-24,2024-02-26,2024-02-27,Delayed,921,1.0,3.0
O0131,S0131,Hyderabad,Bangalore,Ecom Express,Road,2024-01-07,2024-01-08,2024-01-10,2024-01-11,Delayed,1995,1.0,3.0
O0132,S0132,Pune,Pune,XpressBees,Air,2024-02-14,2024-02-14,2024-02-17,2024-02-19,Delayed,6973,2.0,5.0
O0133,S0133,Pune,Chennai,Delhivery,Road,2024-04-13,2024-04-13,2024-04-17,2024-04-17,Delivered,5777,0.0,4.0
O0134,S0134,Hyderabad,Delhi,BlueDart,Rail,2024-04-28,2024-04-29,2024-05-03,2024-05-03,Delivered,7237,0.0,4.0
O0135,S0135,Mumbai,Chennai,BlueDart,Rail,2024-04-19,2024-04-19,2024-04-25,2024-04-26,Delayed,2586,1.0,7.0
O0136,S0136,Pune,Mumbai,BlueDart,Rail,2024-01-06,2024-01-06,2024-01-12,2024-01-12,Delivered,7481,0.0,6.0
O0137,S0137,Delhi,Pune,Delhivery,Road,2024-04-24,2024-04-24,2024-04-26,2024-04-28,Delayed,3993,2.0,4.0
O0138,S0138,Bangalore,Hyderabad,BlueDart,Air,2024-03-17,2024-03-17,2024-03-23,2024-03-23,Delivered,3988,0.0,6.0
O0139,S0139,Pune,Pune,Ecom Express,Air,2024-03-25,2024-03-25,2024-03-30,2024-04-01,Delayed,4611,2.0,7.0
O0140,S0140,Chennai,Chennai,DHL,Road,2024-01-31,2024-01-31,2024-02-06,2024-02-07,Delayed,1852,1.0,7.0
O0141,S0141,Hyderabad,Hyderabad,DHL,Road,2024-02-15,2024-02-15,2024-02-19,2024-02-19,Delivered,6013,0.0,4.0
O0142,S0142,Hyderabad,Chennai,BlueDart,Road,2024-01-17,2024-01-17,2024-01-21,2024-01-23,Delayed,7821,2.0,6.0
O0143,S0143,Chennai,Bangalore,BlueDart,Rail,2024-01-09,2024-01-10,2024-01-11,2024-01-11,Delivered,7258,0.0,1.0
O0144,S0144,Bangalore,Mumbai,Delhivery,Rail,2024-04-02,2024-04-02,2024-04-04,2024-04-04,Delivered,3052,0.0,2.0
O0145,S0145,Chennai,Mumbai,Ecom Express,Air,2024-04-25,2024-04-25,2024-04-28,2024-04-28,Delivered,5845,0.0,3.0
O0146,S0146,Mumbai,Chennai,BlueDart,Rail,2024-03-05,2024-03-05,2024-03-09,,Cancelled,3078,,
O0147,S0147,Bangalore,Pune,Ecom Express,Road,2024-03-27,2024-03-27,2024-04-01,2024-04-01,Delivered,6012,0.0,5.0
O0148,S0148,Delhi,Pune,Delhivery,Rail,2024-04-19,2024-04-19,2024-04-24,2024-04-26,Delayed,5959,2.0,7.0
O0149,S0149,Bangalore,Hyderabad,BlueDart,Air,2024-04-19,2024-04-19,2024-04-23,2024-04-23,Delivered,3510,0.0,4.0
O0150,S0150,Delhi,Pune,Delhivery,Rail,2024-04-07,2024-04-07,2024-04-12,2024-04-12,Delivered,2877,0.0,5.0
O0151,S0151,Delhi,Pune,BlueDart,Road,2024-02-09,2024-02-10,2024-02-15,2024-02-15,Delivered,3183,0.0,5.0
O0152,S0152,Pune,Mumbai,XpressBees,Road,2024-03-19,2024-03-20,2024-03-24,2024-03-25,Delayed,5817,1.0,5.0
O0153,S0153,Bangalore,Bangalore,DHL,Rail,2024-03-24,2024-03-24,2024-03-26,,Cancelled,3725,,
O0154,S0154,Mumbai,Mumbai,Delhivery,Rail,2024-03-09,2024-03-09,2024-03-14,2024-03-16,Delayed,7586,2.0,7.0
O0155,S0155,Mumbai,Delhi,BlueDart,Air,2024-03-01,2024-03-01,2024-03-04,2024-03-04,Delivered,1584,0.0,3.0
O0156,S0156,Bangalore,Pune,DHL,Rail,2024-01-09,2024-01-10,2024-01-12,2024-01-12,Delivered,7524,0.0,2.0
O0157,S0157,Hyderabad,Delhi,XpressBees,Road,2024-03-12,2024-03-12,2024-03-18,2024-03-20,Delayed,2152,2.0,8.0
O0158,S0158,Chennai,Mumbai,BlueDart,Road,2024-04-25,2024-04-25,2024-04-27,2024-04-27,Delivered,1278,0.0,2.0
O0159,S0159,Mumbai,Mumbai,XpressBees,Road,2024-04-26,2024-04-26,2024-04-28,2024-04-30,Delayed,5045,2.0,4.0
O0160,S0160,Mumbai,Hyderabad,Delhivery,Road,2024-03-18,2024-03-19,2024-03-24,2024-03-25,Delayed,3259,1.0,6.0
O0161,S0161,Chennai,Delhi,XpressBees,Road,2024-03-21,2024-03-21,2024-03-26,,Cancelled,6876,,
O0162,S0162,Bangalore,Mumbai,DHL,Road,2024-03-24,2024-03-24,2024-03-27,2024-03-27,Delivered,3548,0.0,3.0
O0163,S0163,Hyderabad,Delhi,XpressBees,Rail,2024-04-24,2024-04-25,2024-04-28,2024-04-28,Delivered,7258,0.0,3.0
O0164,S0164,Mumbai,Pune,Ecom Express,Road,2024-04-27,2024-04-28,2024-05-01,2024-05-01,Delivered,2190,0.0,3.0
O0165,S0165,Bangalore,Mumbai,XpressBees,Air,2024-02-03,2024-02-03,2024-02-06,2024-02-06,Delivered,5725,0.0,3.0
O0166,S0166,Hyderabad,Delhi,DHL,Road,2024-01-31,2024-01-31,2024-02-06,2024-02-07,Delayed,4381,1.0,7.0
O0167,S0167,Chennai,Hyderabad,Ecom Express,Road,2024-04-02,2024-04-02,2024-04-08,2024-04-08,Delivered,5430,0.0,6.0
O0168,S0168,Pune,Hyderabad,BlueDart,Air,2024-04-26,2024-04-26,2024-04-29,,Cancelled,1961,,
O0169,S0169,Delhi,Delhi,DHL,Rail,2024-03-30,2024-03-30,2024-04-01,2024-04-01,Delivered,1355,0.0,2.0
O0170,S0170,Mumbai,Hyderabad,DHL,Rail,2024-04-04,2024-04-04,2024-04-06,2024-04-08,Delayed,3944,2.0,4.0
O0171,S0171,Pune,Delhi,DHL,Rail,2024-01-14,2024-01-14,2024-01-17,2024-01-17,Delivered,5979,0.0,3.0
O0172,S0172,Delhi,Mumbai,Delhivery,Air,2024-02-06,2024-02-06,2024-02-08,2024-02-08,Delivered,3556,0.0,2.0
O0173,S0173,Bangalore,Pune,Delhivery,Air,2024-02-24,2024-02-24,2024-02-26,2024-02-26,Delivered,7101,0.0,2.0
O0174,S0174,Pune,Chennai,DHL,Air,2024-03-18,2024-03-19,2024-03-23,2024-03-23,Delivered,5048,0.0,4.0
O0175,S0175,Hyderabad,Hyderabad,BlueDart,Rail,2024-04-08,2024-04-08,2024-04-12,2024-04-13,Delayed,7863,1.0,5.0
O0176,S0176,Pune,Hyderabad,BlueDart,Air,2024-04-15,2024-04-15,2024-04-21,2024-04-21,Delivered,7043,0.0,6.0
O0177,S0177,Chennai,Delhi,BlueDart,Air,2024-04-06,2024-04-06,2024-04-08,2024-04-08,Delivered,5654,0.0,2.0
O0178,S0178,Bangalore,Mumbai,BlueDart,Air,2024-02-14,2024-02-15,2024-02-18,2024-02-20,Delayed,2158,2.0,5.0
O0179,S0179,Delhi,Hyderabad,DHL,Rail,2024-01-15,2024-01-16,2024-01-17,2024-01-18,Delayed,3475,1.0,2.0
O0180,S0180,Delhi,Pune,XpressBees,Rail,2024-02-15,2024-02-15,2024-02-20,2024-02-21,Delayed,1006,1.0,6.0
O0181,S0181,Hyderabad,Hyderabad,BlueDart,Air,2024-02-17,2024-02-17,2024-02-21,2024-02-21,Delivered,5967,0.0,4.0
O0182,S0182,Delhi,Hyderabad,DHL,Air,2024-01-30,2024-01-30,2024-02-02,2024-02-04,Delayed,5564,2.0,5.0
O0183,S0183,Delhi,Bangalore,BlueDart,Air,2024-02-11,2024-02-12,2024-02-14,2024-02-15,Delayed,4394,1.0,3.0
O0184,S0184,Chennai,Delhi,BlueDart,Rail,2024-03-29,2024-03-29,2024-04-04,2024-04-04,Delivered,2369,0.0,6.0
O0185,S0185,Mumbai,Delhi,Delhivery,Rail,2024-02-04,2024-02-04,2024-02-10,2024-02-10,Delivered,5077,0.0,6.0
O0186,S0186,Bangalore,Delhi,DHL,Road,2024-02-14,2024-02-14,2024-02-17,2024-02-17,Delivered,6189,0.0,3.0
O0187,S0187,Bangalore,Delhi,Delhivery,Air,2024-01-14,2024-01-14,2024-01-19,2024-01-19,Delivered,3043,0.0,5.0
O0188,S0188,Chennai,Chennai,DHL,Road,2024-01-26,2024-01-26,2024-01-28,2024-01-28,Delivered,4068,0.0,2.0
O0189,S0189,Bangalore,Chennai,DHL,Road,2024-04-19,2024-04-19,2024-04-22,2024-04-24,Delayed,2907,2.0,5.0
O0190,S0190,Chennai,Delhi,Ecom Express,Rail,2024-03-18,2024-03-19,2024-03-23,2024-03-23,Delivered,6936,0.0,4.0
O0191,S0191,Delhi,Mumbai,DHL,Air,2024-03-23,2024-03-23,2024-03-26,2024-03-28,Delayed,4343,2.0,5.0
O0192,S0192,Chennai,Delhi,BlueDart,Air,2024-02-10,2024-02-10,2024-02-12,2024-02-13,Delayed,7758,1.0,3.0
O0193,S0193,Chennai,Hyderabad,BlueDart,Rail,2024-02-24,2024-02-24,2024-02-29,2024-02-29,Delivered,3487,0.0,5.0
